OBJECTID,Record_ID,Offense_Code,Offense_Ext,Offense_Category,Description,Police_District,Beat,Grid,Occurence_Date
1,1429759,5213,4,WEAPON OFFENSE,246 PC SHOOT OCCUP DWELL/VEH,6,6B,1401,2020/01/01 08:17:00+00
2,1429760,2999,33,VANDALISM,594(A)(2) VANDALISM-DAMAGE,2,2B,0564,2020/01/01 09:53:00+00
3,1429779,4801,5,OBSTRUCTING,69 PC OBST/RESIST EXEC OFC-MIS,3,3M,0741,2020/01/01 09:48:00+00
4,1429804,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6C,1441,2020/01/01 11:00:00+00
5,1429831,5404,10,TRAFFIC,23153(A) DUI ALCOHOL W/INJ,3,3B,0777,2020/01/01 10:43:00+00
6,1429865,3599,61,NARCOTICS,11350(A) POSS CONTROLLED SUBST,5,5A,1364,2020/01/01 11:16:00+00
7,1429868,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,2,2C,0611,2020/01/01 14:02:00+00
8,1429872,2699,8,FRAUD,587C PC EVADE PAYMENT RAILFARE,3,3A,0765,2020/01/01 21:01:00+00
9,1429874,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,3,3M,0744,2020/01/01 08:33:00+00
10,1429881,7000,83,RELEASE,849(B)(1) CERTIFICATE OF RELEA,4,4A,1203,2020/01/01 08:32:00+00
11,1429889,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,3,3B,0748,2020/01/01 09:15:00+00
12,1429894,2399,2,LARCENY,484 PC PETTY THEFT,3,3B,0748,2020/01/01 09:30:00+00
13,1429896,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3A,0725,2020/01/01 18:40:00+00
14,1429900,2205,3,BURGLARY,459.5 BURGLARY SHOPLIFT < $950,4,4A,0965,2020/01/01 22:30:00+00
15,1429902,2205,3,BURGLARY,459.5 BURGLARY SHOPLIFT < $950,4,4A,0965,2020/01/01 22:10:00+00
16,1429903,2399,2,LARCENY,484 PC PETTY THEFT,3,3M,0745,2020/01/01 09:00:00+00
17,1429906,2205,3,BURGLARY,459.5 BURGLARY SHOPLIFT < $950,4,4A,0965,2020/01/01 20:10:00+00
18,1429912,5005,2,OBST JUDICIARY,166(A)(4) WILFUL DISOBEY CT OR,1,1B,0435,2020/01/01 22:26:00+00
19,1429913,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,1,1C,0426,2020/01/01 18:36:00+00
20,1429918,0999,1,HOMICIDE,187(A) HOMICIDE,2,2B,0563,2020/01/01 22:54:00+00
21,1429920,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,2,2B,0552,2020/01/01 08:20:00+00
22,1429936,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,5,5C,1654,2020/01/02 01:00:00+00
23,1429939,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,3,3A,0782,2020/01/02 05:30:00+00
24,1429957,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,5,5C,1654,2020/01/02 00:47:00+00
25,1429958,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,4,4A,0903,2020/01/02 08:08:00+00
26,1429959,2501,01,FORGERY,476 MAKE/PASS FICT CHECK-FEL,6,6A,1071,2020/01/02 03:34:00+00
27,1429961,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,2,2A,0505,2020/01/01 09:00:00+00
28,1429962,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,6,6A,1061,2020/01/02 19:00:00+00
29,1429968,2605,13,THEFT,484G PC THEFT BY CREDIT CARD,4,4A,0908,2020/01/02 01:30:00+00
30,1429969,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,4,4A,0928,2020/01/02 04:00:00+00
31,1429983,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,6,6C,1111,2020/01/02 12:10:00+00
32,1429996,2999,02,VANDALISM,594(B)(1) VANDAL OVER $400-F,3,3B,0788,2020/01/02 08:15:00+00
33,1429997,2099,1,ARSON,451(A) PC ARSON W/BODILY INJ,5,5A,1371,2020/01/02 09:00:00+00
34,1429998,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,6,6A,1034,2020/01/02 20:00:00+00
35,1430020,3599,61,NARCOTICS,11350(A) POSS CONTROLLED SUBST,4,4A,0907,2020/01/02 20:11:00+00
36,1430034,2803,0,STOLEN PROP,496(A) REC STOLEN PROP-FEL,2,2B,0542,2020/01/01 12:24:00+00
37,1430036,5212,78,WEAPON OFFENSE,29800(A)(1) FELON POSS GUN,5,5B,1602,2020/01/02 02:44:00+00
38,1430038,1399,4,BATTERY,243(D) BATTERY CIVILIAN W/INJ,3,3M,0734,2020/01/02 03:26:00+00
39,1430040,2999,38,VANDALISM,594(B)(1) VANDAL OVER $400-M,5,5A,1371,2020/01/02 06:05:00+00
40,1430042,3599,63,NARCOTICS,11377(A) POSS DANGEROUS DRUG,2,2B,0532,2020/01/02 22:59:00+00
41,1430051,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,2,2B,0545,2020/01/02 02:01:00+00
42,1430053,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,4,4A,0908,2020/01/03 06:04:00+00
43,1430061,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,3,3A,0706,2020/01/02 06:00:00+00
44,1430064,5707,6,TRESPASS,602(L)(1)TRESPASS REFUSE TO LV,3,3B,0748,2020/01/03 08:55:00+00
45,1430078,5311,5,PUBLIC PEACE,647(F) PC DIP - DISORDERLY,1,1A,0306,2020/01/03 04:25:00+00
46,1430080,2399,3,THEFT,485 PC PETTY THFT LOST PROP-M,3,3M,0741,2020/01/02 20:06:00+00
47,1430091,2803,05,STOLEN PROP,496(A) REC STOLEN PROP-MISD,4,4A,0907,2020/01/02 19:08:00+00
48,1430092,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,4,4A,0905,2020/01/02 19:42:00+00
49,1430095,1299,0,ROBBERY,211 PC ROBBERY-UNSPECIFIED,2,2C,0626,2020/01/02 19:56:00+00
50,1430098,1299,0,ROBBERY,211 PC ROBBERY-UNSPECIFIED,3,3M,0741,2020/01/01 09:03:00+00
51,1430101,3599,62,NARCOTICS,11377(A) POSS DAN DRUG/SUPER X,5,5C,1651,2020/01/02 08:34:00+00
52,1430102,4801,5,OBSTRUCTING,69 PC OBST/RESIST EXEC OFC-MIS,3,3A,0706,2020/01/02 16:46:00+00
