FID,Record_ID,Offense_Code,Offense_Ext,Offense_Category,Description,Police_District,Beat,Grid,Occurence_Date
1,1002009,2602,0,FRAUD,FRAUD-SWINDLE,5,5B,1603,2014/01/07 18:01:59
2,1000904,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,5,5B,1612,2014/01/01 08:29:59
3,1002013,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,5,5B,1618,2014/01/06 15:30:00
4,1002014,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,2,2B,0537,2014/01/07 05:55:00
5,1000906,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,4,4A,0908,2014/01/01 15:40:00
6,1002017,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,2,2B,0537,2014/01/07 00:59:59
7,1000913,4801,0,OBSTRUCTING,148(A)(1)PC RESIST PEACE OFFCR,5,5C,1635,2014/01/01 09:01:59
8,1002018,2399,1,LARCENY,368(D) THEFT-ELDER >$950,2,2A,0516,2014/01/07 18:36:59
9,1000926,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,2,2C,0623,2014/01/01 10:25:00
10,1002032,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,3,3M,0745,2014/01/07 06:30:00
11,1000927,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,UI,UI,UI,2014/01/01 11:26:00
12,1002033,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,1,1C,0428,2014/01/07 20:28:00
13,1000928,5311,52,DISORDERLY,647(F) PC PUB INTOX-DETOX ONLY,3,3A,0732,2014/01/01 12:33:59
14,1002034,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,3,3M,0734,2014/01/06 07:31:00
15,1000931,3532,0,DANGEROUS DRUG,11350(A)HS POSS CNTRL SUBST,6,6A,1053,2014/01/01 17:23:59
16,1002035,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,4,4C,1259,2014/01/07 11:31:00
17,1000972,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,3,3M,0712,2014/01/01 12:29:00
18,1002036,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,4,4A,0937,2014/01/07 00:59:59
19,1000976,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,4,4A,0937,2014/01/02 02:51:59
20,1002039,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,2,2C,0626,2014/01/03 08:00:59
21,1000981,1313,19,BATTERY,242 PC BATTERY CIVILIAN,6,6A,1053,2014/01/01 09:27:59
22,1002044,2099,3,ARSON,451(C) PC ARSON STRUC/LAND,5,5B,1367,2014/01/07 19:22:59
23,1000983,5212,78,WEAPON OFFENSE,29800(A)(1) FELON POSS GUN,6,6B,1401,2014/01/01 19:12:00
24,1002052,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,3,3C,0888,2014/01/07 07:27:00
25,1000985,2399,21,THEFT,666 PETTY THEFT W/PRIORS-FEL,5,5C,1623,2014/01/02 01:43:00
26,1002053,7399,36B,SAC CITY CODE,9.16.140B TRESPASS AFTR NOTICE,3,3B,0746,2014/01/03 22:27:00
27,1000986,2303,3,LARCENY,484 PETTY THEFT-SHOPLIFT,5,5C,1639,2014/01/02 03:10:00
28,1002057,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,4,4A,0905,2014/01/07 20:00:00
29,1001000,1313,19,BATTERY,242 PC BATTERY CIVILIAN,2,2A,0513,2014/01/02 04:34:59
30,1002079,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,5,5A,1522,2014/01/07 11:29:59
31,1001008,5311,5,PUBLIC PEACE,647(F) PC DIP - DISORDERLY,3,3M,0732,2014/01/01 08:55:59
32,1002083,2303,3,LARCENY,484 PETTY THEFT-SHOPLIFT,2,2C,0616,2014/01/03 02:03:00
33,1001009,1313,19,BATTERY,242 PC BATTERY CIVILIAN,2,2B,0546,2014/01/01 09:10:00
34,1002085,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1A,0308,2014/01/05 21:59:59
35,1001013,2999,091,TAMPERING,10852 VC VEHICLE TAMPERING,2,2C,0626,2014/01/01 17:26:00
36,1002089,7000,61,INCIDENT RPT,TOWED/STORED VEH-14602.6,1,1B,0468,2014/01/06 00:10:00
37,1001014,4902,0,FUGITIVE,1551(A) FUGITIVE FROM JUSTICE,3,3M,0734,2014/01/01 21:59:59
38,1002091,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,UI,UI,UI,2014/01/06 07:54:59
39,1001019,1299,0,ROBBERY,211 PC ROBBERY-UNSPECIFIED,2,2B,0551,2014/01/01 23:15:00
40,1002092,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,5,5B,1621,2014/01/06 15:23:00
41,1001020,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,5,5A,1501,2014/01/02 03:59:59
42,1002093,7000,61,INCIDENT RPT,TOWED/STORED VEH-14602.6,4,4B,0969,2014/01/07 01:34:00
43,1001024,2803,0,STOLEN PROP,496(A) REC STOLEN PROP-FEL,3,3M,0751,2014/01/01 08:00:59
44,1002094,4801,0,OBSTRUCTING,148(A)(1)PC RESIST PEACE OFFCR,2,2B,0531,2014/01/07 15:49:00
45,1001025,7399,36B,SAC CITY CODE,9.16.140B TRESPASS AFTR NOTICE,2,2C,0616,2014/01/01 22:33:00
46,1002095,7399,62,SAC CITY CODE,12.52.030(A) UNLAWFUL CAMP-PUB,4,4C,1297,2014/01/07 16:06:59
47,1001028,2301,0,LARCENY,487(C) GRAND THEFT PERS >$950,2,2A,0222,2014/01/01 23:45:00
48,1002096,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,2,2B,0522,2014/01/07 17:10:00
49,1001029,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,5,5C,1606,2014/01/02 00:33:59
50,1002097,3572,0,NARCOTICS,11377(A) POSS AMPHETAMINES,6,6A,1015,2014/01/07 20:39:00
51,1001039,2604,42,FRAUD,530.5(A) GET CRED W/OTH ID-FEL,4,4A,0934,2014/01/02 19:59:00
52,1002098,5012,0,OBST JUDICIARY,1203.2 PC VIOL OF PROBATION,5,5A,1383,2014/01/07 23:57:00
53,1002101,5311,53,PUBLIC PEACE,647(F) DIP/REPEAT OFF 647D(B),2,2C,0602,2014/01/06 21:40:00
54,1002102,5707,0,PRIVACY,602 PC TRESPASS,2,2C,0603,2014/01/08 05:10:59
55,1002103,3572,0,NARCOTICS,11377(A) POSS AMPHETAMINES,2,2B,0552,2014/01/08 02:41:00
56,1002104,3532,0,DANGEROUS DRUG,11350(A)HS POSS CNTRL SUBST,4,4B,0977,2014/01/08 02:02:00
57,1002105,2803,0,STOLEN PROP,496(A) REC STOLEN PROP-FEL,3,3A,0763,2014/01/07 21:24:59
58,1002106,2303,3,LARCENY,484 PETTY THEFT-SHOPLIFT,3,3M,0742,2014/01/08 04:14:00
59,1002108,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,3,3A,0782,2014/01/04 22:30:00
60,1002112,5207,13,WEAPON OFFENSE,18740 DEST DEV INT TO INJ,3,3C,0801,2014/01/07 06:59:59
61,1002118,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,5,5B,1616,2014/01/07 20:48:59
62,1002119,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,2,2C,0604,2014/01/07 21:23:00
63,1002126,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,5,5A,1502,2014/01/08 04:30:00
64,1002141,2307,0,LARCENY,487(A) GRAND THEFT-COIN MACHIN,3,3C,0854,2014/01/05 06:00:00
65,1002143,2303,3,LARCENY,484 PETTY THEFT-SHOPLIFT,3,3C,1101,2014/01/03 22:05:00
66,1002155,2303,3,LARCENY,484 PETTY THEFT-SHOPLIFT,3,3C,1101,2014/01/06 15:45:00
67,1002156,2204,0,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,5,5A,1504,2014/01/05 17:00:00
68,1002157,1299,0,ROBBERY,211 PC ROBBERY-UNSPECIFIED,3,3M,0752,2014/01/07 07:15:59
69,1002158,2204,0,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,2,2B,0546,2014/01/07 09:30:00
70,1002159,2204,0,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,3,3C,1102,2014/01/07 12:24:00
71,1002161,2204,0,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,5,5C,1635,2014/01/07 20:48:00
72,1002162,3572,0,NARCOTICS,11377(A) POSS AMPHETAMINES,1,1C,0409,2014/01/08 04:54:00
73,1002163,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,4,4A,0909,2014/01/08 07:08:00
74,1002168,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,3,3C,0888,2014/01/08 06:59:00
75,1002174,1313,19,BATTERY,242 PC BATTERY CIVILIAN,5,5C,1624,2014/01/04 04:25:00
76,1001043,5299,127,WEAPON OFFENSE,30305(A)(1) FELON POSS AMMO-F,UI,UI,UI,2014/01/01 17:55:59
77,1001045,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,5,5B,1621,2014/01/02 14:00:00
