FID,Record_ID,Offense_Code,Offense_Ext,Offense_Category,Description,Police_District,Beat,Grid,Occurence_Date
1,1147173,1313,19,BATTERY,242 PC BATTERY CIVILIAN,3,3M,0744,2016/01/01 08:23:00
2,1147207,1315,20,AGG ASSAULT,245(A)(2) AWDW-FIREARM,3,3A,0721,2016/01/01 09:46:00
3,1147225,2205,0,BURGLARY,459 PC BURG BUSINESS-NO FORCE,6,6B,1088,2016/01/01 09:30:59
4,1147227,1399,4,BATTERY,243(D) BATTERY CIVILIAN W/INJ,3,3B,0746,2016/01/01 09:51:00
5,1147229,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,3,3B,0766,2016/01/01 10:22:59
6,1147231,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,3,3A,0707,2016/01/01 11:10:59
7,1147233,1313,19,BATTERY,242 PC BATTERY CIVILIAN,3,3B,0746,2016/01/01 11:06:59
8,1147234,5213,5,WEAPON OFFENSE,246.3(A) PC NEGL DISCH FIREARM,2,2B,0531,2016/01/01 08:10:00
9,1147236,5213,5,WEAPON OFFENSE,246.3(A) PC NEGL DISCH FIREARM,5,5A,1393,2016/01/01 08:06:00
10,1147252,2399,2,LARCENY,484 PC PETTY THEFT,2,2C,0612,2016/01/01 09:00:00
11,1147258,3599,63,NARCOTICS,11377(A) POSS DANGEROUS DRUG,5,5C,1651,2016/01/01 18:24:59
12,1147260,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,1,1C,0406,2016/01/01 20:00:00
13,1147263,2205,3,BURGLARY,459.5 BURGLARY SHOPLIFT < $950,2,2C,0616,2016/01/01 20:29:59
14,1147267,3522,11,NARCOTIC,11351 HS POSS/SALE OPIATE/NARC,6,6B,1064,2016/01/01 15:35:00
15,1147269,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,2,2B,0563,2016/01/01 11:19:00
16,1147270,5213,4,WEAPON OFFENSE,246 PC SHOOT OCCUP DWELL/VEH,1,1C,0419,2016/01/01 19:44:00
17,1147278,2999,03,VANDALISM,594(B)(1) VANDALISM GRAF >$400,2,2C,0618,2016/02/10 14:00:00
18,1147279,5404,10,TRAFFIC,23153(A) DUI ALCOHOL W/INJ,2,2A,0204,2016/01/02 00:00:00
