OBJECTID,Record_ID,Offense_Code,Offense_Ext,Offense_Category,Description,Police_District,Beat,Grid,Occurence_Date
1,1359411,1315,15,AGG ASSAULT,244 PC ASSAULT W/ CAUST CHEMIC,3,3B,0736,2019/01/01 08:58:00+00
2,1359412,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,6,6D,0824,2019/01/01 08:35:00+00
3,1359413,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,4,4A,0905,2019/01/01 09:40:00+00
4,1359451,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,2,2B,0564,2019/01/01 09:56:00+00
5,1359453,1313,19,BATTERY,242 PC BATTERY CIVILIAN,3,3M,0742,2019/01/01 10:56:00+00
6,1359459,1313,21,BATTERY,243(B) PC BATTERY EMERG PERSON,3,3M,0742,2019/01/01 08:14:00+00
7,1359460,5311,5,PUBLIC PEACE,647(F) PC DIP - DISORDERLY,1,1A,0302,2019/01/01 08:31:00+00
8,1359461,4803,3,OBSTRUCTING,148.9(A) PC FALSE ID TO OFCR,6,6D,0856,2019/01/01 08:51:00+00
9,1359480,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2B,0541,2019/01/01 10:24:00+00
10,1359486,5311,5,PUBLIC PEACE,647(F) PC DIP - DISORDERLY,1,1B,0435,2019/01/01 19:52:00+00
11,1359487,5202,11,WEAPON OFFENSE,25400(A)(1) CCW IN VEHICLE-FEL,5,5B,1614,2019/01/01 08:21:00+00
12,1359488,3599,63,NARCOTICS,11377(A) POSS DANGEROUS DRUG,3,3M,0734,2019/01/01 20:21:00+00
13,1359489,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,3,3M,0744,2019/01/01 21:52:00+00
14,1359533,5213,5,WEAPON OFFENSE,246.3(A) NEGL DISCH FIREARM-F,6,6A,1053,2019/01/01 08:32:00+00
15,1359573,3599,36,NARCOTICS,11364.1(A) POSS UNLAWFUL PARAP,3,3M,0735,2019/01/02 00:54:00+00
16,1359575,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,3,3M,0735,2019/01/02 01:24:00+00
17,1359577,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,3,3M,0742,2019/01/02 03:29:00+00
18,1359579,5299,127,WEAPON OFFENSE,30305(A)(1) FELON POSS AMMO-F,2,2B,0552,2019/01/01 23:47:00+00
19,1359580,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,5,5C,1623,2019/01/02 00:36:00+00
