FID,Record_ID,Offense_Code,Offense_Ext,Offense_Category,Description,Police_District,Beat,Grid,Occurence_Date
1,1073977,5213,5,WEAPON OFFENSE,246.3(A) PC NEGL DISCH FIREARM,2,2B,0541,2015/01/01 08:03:00
2,1074004,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1B,0401,2015/01/01 11:00:00
3,1074012,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6C,1113,2015/01/01 21:00:00
4,1074021,1299,0,ROBBERY,211 PC ROBBERY-UNSPECIFIED,4,4B,0969,2015/01/01 09:13:00
5,1074023,3599,35,NARCOTICS,11378 HS POSS CNTRL SUB/SALE,3,3A,0706,2015/01/01 14:42:59
6,1074024,3599,61,NARCOTICS,11350(A) POSS CONTROLLED SUBST,6,6A,1042,2015/01/01 15:11:00
7,1074025,5311,5,PUBLIC PEACE,647(F) PC DIP - DISORDERLY,6,6C,1131,2015/01/01 15:55:00
8,1074026,2699,23,FRAUD,498(B)(2) TAMPER W/UTILITIES,3,3B,0766,2015/01/01 17:23:59
9,1074028,1299,2,ROBBERY,211 PC ROBBERY-BUSINESS,3,3M,0742,2015/01/01 20:15:00
10,1074068,2803,04,STOLEN PROP,496D(A) PURCH STLN VEH-FEL,5,5C,1605,2015/01/01 19:47:00
11,1074104,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,2,2A,0506,2015/01/02 04:01:00
12,1074123,4801,0,OBSTRUCTING,148(A)(1)PC RESIST PEACE OFFCR,6,6A,1071,2015/01/02 00:27:59
13,1074171,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,5,5B,1603,2015/01/01 12:07:00
14,1074174,3562,01,NARCOTICS,11357(C)HS POSS +28.5GR MARIJ,4,4C,1262,2015/01/01 12:19:00
15,1074175,2303,2,LARCENY,487(A) GRAND THEFT-SHOPLIFT,3,3M,0742,2015/01/02 02:05:00
16,1074178,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,4,4B,1354,2015/01/02 04:18:59
17,1074179,3572,0,NARCOTICS,11377(A) POSS AMPHETAMINES,3,3B,0748,2015/01/02 05:48:59
18,1074180,3599,63,NARCOTICS,11377(A) POSS DANGEROUS DRUG,6,6B,1086,2015/01/02 06:39:00
19,1074198,7399,36B,SAC CITY CODE,9.16.140B TRESPASS AFTR NOTICE,5,5B,1633,2015/01/02 09:45:00
20,1074200,1315,15,AGG ASSAULT,244 PC ASSAULT W/ CAUST CHEMIC,4,4A,0905,2015/01/01 09:43:59
21,1074201,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,4,4C,1227,2015/01/01 11:10:59
22,1074203,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,4,4C,1301,2015/01/01 10:30:00
23,1074206,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,1,1C,0408,2015/01/01 11:45:00
24,1074207,1315,20,AGG ASSAULT,245(A)(2) AWDW-FIREARM,5,5A,1394,2015/01/01 12:24:59
25,1074215,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,1,1C,0408,2015/01/01 11:50:00
26,1074225,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,4,4A,0909,2015/01/01 15:33:00
27,1074226,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,4,4C,1274,2015/01/02 07:01:00
28,1074229,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,4,4C,1293,2015/01/02 01:15:00
29,1074230,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,2,2A,0514,2015/01/02 00:46:59
30,1074232,1210,0,ROBBERY,211 PC ROBBERY-PURSE SNATCH,4,4A,0906,2015/01/02 04:20:00
31,1074238,1210,0,ROBBERY,211 PC ROBBERY-PURSE SNATCH,4,4C,1227,2015/01/02 03:04:59
32,1074240,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,6,6D,1101,2015/01/01 22:47:59
33,1074241,2302,0,LARCENY,487(C) GRAND THEFT-PURSE SNTCH,6,6A,1034,2015/01/02 02:23:00
34,1074244,5213,4,WEAPON OFFENSE,246 PC SHOOT OCCUP DWELL/VEH,1,1C,0419,2015/01/01 08:05:00
35,1074246,1399,4,BATTERY,243(D) BATTERY CIVILIAN W/INJ,1,1C,0406,2015/01/01 15:00:00
36,1074250,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,2,2C,0567,2015/01/01 23:26:59
37,1074269,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6C,1441,2015/01/02 11:00:00
38,1074277,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6D,1103,2015/01/02 08:00:59
39,1074286,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,5,5C,1642,2015/01/01 17:29:59
40,1074291,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,1,1B,0353,2015/01/02 12:36:00
41,1074297,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6A,1052,2015/01/02 23:29:59
42,1074300,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6D,0853,2015/01/02 00:00:00
43,1074301,5212,78,WEAPON OFFENSE,29800(A)(1) FELON POSS GUN,1,1C,0449,2015/01/02 19:20:00
44,1074302,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,3,3B,0746,2015/01/02 20:29:59
45,1074304,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,1,1C,0414,2015/01/01 18:48:00
46,1074307,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,5,5B,1399,2015/01/01 18:59:59
47,1074322,2205,1,BURGLARY,459 PC BURG BUSINESS-SHOPLIFT,2,2C,0616,2015/01/02 21:36:59
48,1074323,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,2,2C,0625,2015/01/02 23:00:00
49,1074333,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,5,5B,1631,2015/01/01 20:13:00
50,1074334,2303,3,LARCENY,484 PETTY THEFT-SHOPLIFT,2,2C,0602,2015/01/01 19:18:00
51,1074595,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,2,2C,0603,2015/01/04 00:59:59
52,1074597,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,6,6C,1111,2015/01/02 15:24:00
53,1074601,5401,0,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,6,6C,1406,2015/01/03 11:22:00
54,1074602,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,3,3B,0778,2015/01/04 06:00:00
55,1074603,2299,01,BURGLARY,459 PC BURG VEHICLE,2,2A,0203,2015/01/02 06:59:59
56,1074607,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,5,5A,1383,2015/01/03 06:30:00
57,1074614,2299,01,BURGLARY,459 PC BURG VEHICLE,4,4A,0945,2015/01/05 22:30:00
58,1074618,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,3,3B,0737,2015/01/05 23:55:00
59,1074619,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,3,3B,0746,2015/01/04 11:09:00
60,1074621,5212,78,WEAPON OFFENSE,29800(A)(1) FELON POSS GUN,2,2A,0506,2015/01/04 09:27:59
61,1074622,5499,00,TRAFFIC,VEHICLE CODE VIOLATION-INFRACT,3,3M,0744,2015/01/04 09:01:59
62,1074627,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,5,5A,1394,2015/01/04 15:35:00
63,1074628,4801,0,OBSTRUCTING,148(A)(1)PC RESIST PEACE OFFCR,6,6D,0851,2015/01/05 10:41:00
64,1074629,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,6,6D,1102,2015/01/02 09:01:00
65,1074630,5707,8,TRESPASS,602.5 PC ENTRY OF PROPERTY,2,2A,0231,2015/01/05 04:43:00
66,1074632,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,6,6B,1058,2015/01/04 22:49:00
67,1074633,5212,54,WEAPON OFFENSE,21310 POSS DIRK/DAGGER-FEL,2,2A,0504,2015/01/05 06:55:00
68,1074634,5499,45,TRAFFIC,14601(A) SUSP LIC-RECKLESS,5,5A,1382,2015/01/04 23:45:00
69,1074635,1299,2,ROBBERY,211 PC ROBBERY-BUSINESS,6,6D,1101,2015/01/03 22:24:00
70,1074636,3562,0,NARCOTICS,11357(B)HS POSS -28.5GR MARIJ,1,1B,0412,2015/01/04 23:16:59
71,1074637,3562,0,NARCOTICS,11357(B)HS POSS -28.5GR MARIJ,4,4A,0913,2015/01/05 03:10:00
72,1074639,5012,0,OBST JUDICIARY,1203.2 PC VIOL OF PROBATION,3,3A,0784,2015/01/05 06:49:00
73,1074640,3562,0,NARCOTICS,11357(B)HS POSS -28.5GR MARIJ,4,4B,1336,2015/01/05 07:41:00
74,1074642,3599,36,NARCOTICS,11364.1(A) POSS UNLAWFUL PARAP,5,5C,1606,2015/01/05 05:02:00
75,1074643,3599,61,NARCOTICS,11350(A) POSS CONTROLLED SUBST,4,4C,1251,2015/01/04 01:36:00
76,1074644,3599,63,NARCOTICS,11377(A) POSS DANGEROUS DRUG,2,2B,0532,2015/01/05 08:35:00
77,1074645,2303,3,LARCENY,484 PETTY THEFT-SHOPLIFT,6,6B,1084,2015/01/06 00:55:00
78,1074646,2299,09,BURGLARY,459 PC BURG UNSPECIFIED-FEL,2,2B,0537,2015/01/03 15:30:00
79,1074647,5499,15,TRAFFIC,23103(A) RECKLESS ON HIGHWAY,5,5A,1391,2015/01/06 00:59:59
80,1074648,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,6,6D,0851,2015/01/06 00:56:00
81,1074652,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,6,6D,1117,2015/01/04 10:09:00
82,1074654,3599,63,NARCOTICS,11377(A) POSS DANGEROUS DRUG,2,2B,0543,2015/01/05 23:45:59
83,1074655,5311,1,PUBLIC PEACE,415(1) PC DISTURB PEACE/FIGHT,UI,UI,UI,2015/01/05 23:05:00
84,1074656,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,4,4B,0989,2015/01/05 16:40:00
85,1074657,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,6,6A,1011,2015/01/05 10:12:00
86,1074658,3562,01,NARCOTICS,11357(C)HS POSS +28.5GR MARIJ,4,4A,0937,2015/01/05 06:40:00
87,1074664,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,5,5C,1605,2015/01/02 15:30:00
88,1074665,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2A,0513,2015/01/04 07:41:00
89,1074666,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2A,0513,2015/01/04 07:41:59
90,1074667,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2B,0537,2015/01/04 11:52:59
91,1074668,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,1,1A,0337,2015/01/05 02:09:00
92,1074669,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,1,1B,0435,2015/01/03 09:36:00
93,1074670,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,6,6B,1421,2015/01/03 09:45:00
94,1074671,7000,61,INCIDENT RPT,TOWED/STORED VEH-14602.6,3,3B,0736,2015/01/03 10:31:59
95,1074673,7000,61,INCIDENT RPT,TOWED/STORED VEH-14602.6,1,1C,0449,2015/01/03 19:11:00
96,1074675,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2A,0513,2015/01/04 07:36:00
97,1074680,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,3,3B,0718,2015/01/02 16:08:00
98,1074681,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,3,3B,0767,2015/01/02 21:10:00
99,1074682,7000,61,INCIDENT RPT,TOWED/STORED VEH-14602.6,3,3B,0728,2015/01/02 22:22:59
100,1074683,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2A,0502,2015/01/03 00:20:00
101,1074342,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,2,2B,0563,2015/01/02 01:34:59
102,1074345,3562,0,NARCOTICS,11357(B)HS POSS -28.5GR MARIJ,3,3M,0744,2015/01/03 04:49:00
103,1074848,4902,0,FUGITIVE,1551(A) FUGITIVE FROM JUSTICE,4,4B,0969,2015/01/06 19:30:00
104,1074346,3562,01,NARCOTICS,11357(C)HS POSS +28.5GR MARIJ,1,1B,0435,2015/01/03 03:36:59
105,1074347,1299,2,ROBBERY,211 PC ROBBERY-BUSINESS,1,1C,0447,2015/01/02 17:31:00
106,1074850,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,5,5A,1504,2015/01/06 08:00:59
107,1074348,2302,1,LARCENY,484 PETTY THEFT-PURSE SNATCH,3,3A,0764,2015/01/02 19:04:00
108,1074852,2399,2,LARCENY,484 PC PETTY THEFT,2,2A,0233,2015/01/05 03:00:00
109,1074349,5011,0,OBST JUDICIARY,3056 PAROLE VIOLATION,2,2C,0619,2015/01/03 02:00:00
110,1074872,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,3,3M,0744,2015/01/05 10:01:00
111,1074350,5707,0,PRIVACY,602 PC TRESPASS,2,2C,0619,2015/01/03 04:01:00
112,1074873,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,5,5C,1653,2015/01/03 08:00:00
113,1074354,5401,0,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,6,6B,1412,2015/01/01 13:09:59
114,1074877,5311,53,PUBLIC PEACE,647(F) DIP/REPEAT OFF 647D(B),3,3A,0704,2015/01/06 19:12:59
115,1074355,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6C,1445,2015/01/01 20:07:59
116,1074878,3599,63,NARCOTICS,11377(A) POSS DANGEROUS DRUG,3,3A,0706,2015/01/06 17:48:00
117,1074357,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,6,6B,1401,2015/01/01 19:12:00
118,1074360,7000,61,INCIDENT RPT,TOWED/STORED VEH-14602.6,2,2C,0557,2015/01/02 00:17:59
119,1074881,5499,17A,TRAFFIC,23222(B)POSSESS MARIJ IN VEH,6,6B,1421,2015/01/06 08:58:59
120,1074885,2301,0A,LARCENY,487(C) GRAND THEFT-PERS <$950,2,2B,0564,2015/01/05 19:50:00
121,1074364,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,1,1A,0130,2015/01/03 05:45:59
122,1074887,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,4,4A,0936,2015/01/03 02:29:59
123,1074366,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,6,6D,1101,2015/01/02 16:51:59
124,1074890,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,5,5C,1634,2015/01/05 17:00:00
125,1074367,2803,0,STOLEN PROP,496(A) REC STOLEN PROP-FEL,3,3M,0741,2015/01/03 07:28:00
126,1074905,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,3,3A,0763,2015/01/05 15:00:00
127,1074371,7399,62,SAC CITY CODE,12.52.030(A) UNLAWFUL CAMP-PUB,6,6D,0821,2015/01/02 12:43:59
128,1074907,5707,0,PRIVACY,602 PC TRESPASS,3,3B,0748,2015/01/06 15:04:00
129,1074376,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,6,6D,1101,2015/01/02 16:51:59
130,1074909,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,5,5B,1631,2015/01/06 23:10:59
131,1074379,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,2,2C,0619,2015/01/03 02:28:00
132,1074912,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,2,2B,0553,2015/01/06 23:18:00
133,1074380,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,5,5B,1614,2015/01/03 00:00:00
134,1074914,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,2,2B,0543,2015/01/03 19:12:00
